Date,Strategy_ret,Cumulative_ret,Z-Score,Beta
2022-11-02,-0.01753850970550704,1.2446785708330774,-0.9706292390419253,0.062025505000806544
2022-11-03,-0.0,1.2446785708330774,-0.9023417785408637,0.060014982482058235
2022-11-04,0.0,1.2446785708330774,-0.7956326536120106,0.05811394961978325
2022-11-07,-0.0,1.2446785708330774,-0.7491620456304942,0.05684427755490527
2022-11-08,0.0,1.2446785708330774,-0.6702854326445903,0.05476988619512536
2022-11-09,-0.0,1.2446785708330774,-0.6256459374754426,0.05314184684200297
2022-11-10,0.0,1.2446785708330774,-0.5893338514717105,0.05145713000194823
2022-11-11,0.0,1.2446785708330774,-0.5564220577833785,0.05127115503398656
2022-11-14,0.0,1.2446785708330774,-0.47082414772846387,0.052502840231487255
2022-11-15,-0.0,1.2446785708330774,-0.5430927540467084,0.05299493571353875
2022-11-16,-0.0,1.2446785708330774,-0.5557613817265808,0.0535880622207123
2022-11-17,0.0,1.2446785708330774,-0.5427443248207416,0.05472193877084569
2022-11-18,-0.0,1.2446785708330774,-0.5986018748676036,0.057030538082257526
2022-11-21,-0.0,1.2446785708330774,-0.658326058769778,0.0598386939676539
2022-11-22,0.0,1.2446785708330774,-0.6803300215033821,0.06197367544680011
2022-11-23,-0.0,1.2446785708330774,-0.7765410432372225,0.06529669912136704
2022-11-25,0.0,1.2446785708330774,-0.7989546680498454,0.06763323958169157
2022-11-28,0.0,1.2446785708330774,-0.8293463243070403,0.07048565994345778
2022-11-29,-0.0,1.2446785708330774,-0.8890541825549099,0.07346707535039823
2022-11-30,0.0,1.2446785708330774,-0.9468614620801508,0.07590280822521452
2022-12-01,0.0,1.2446785708330774,-0.7751919355860435,0.0781915807485542
2022-12-02,-0.0,1.2446785708330774,-0.8115465617905119,0.08148420868217418
2022-12-05,-0.0,1.2446785708330774,-0.8085228175234909,0.08290892797217822
2022-12-06,-0.0,1.2446785708330774,-0.8384172064896186,0.08410168238644741
2022-12-07,0.0,1.2446785708330774,-0.8268806769535213,0.08536392799072745
2022-12-08,0.0,1.2446785708330774,-0.661319805195782,0.0838768160157184
2022-12-09,-0.0,1.2446785708330774,-0.5790503030127416,0.08165419617778019
2022-12-12,0.0,1.2446785708330774,-0.4896452804053842,0.07978584992926059
2022-12-13,0.0,1.2446785708330774,-0.37540547916354805,0.07906865186807815
2022-12-14,0.0,1.2446785708330774,-0.18957135700802918,0.07891947261518634
2022-12-15,-0.0,1.2446785708330774,0.04016140853589398,0.07674793743757526
2022-12-16,-0.0,1.2446785708330774,0.3699046146166759,0.06820462870726712
2022-12-19,-0.0,1.2446785708330774,0.948391722729959,0.06130982317659109
2022-12-20,-0.0,1.2446785708330774,1.6727212206128617,0.05342302230732958
2022-12-21,-0.006197444987764689,1.23696474386289,2.3782644127055135,0.04618947319775858
2022-12-22,9.650368027730731e-05,1.237084115513046,2.8842679817928434,0.04008175899700878
2022-12-23,-0.0033818080336090457,1.232900534512954,3.158579544659415,0.03462892016823568
2022-12-27,0.0132419347428073,1.2492265229353468,3.194084638908077,0.029398076005867614
2022-12-28,0.0061697788079386195,1.2569339742628682,3.214014414701077,0.023681200260268057
2022-12-29,-0.010288129383388963,1.2440024749092746,3.2114544492392487,0.01856590377269019
2022-12-30,0.0017524573680870112,1.2461825362123478,3.077752334291554,0.014704401927709915
2023-01-03,-0.00046583423653865974,1.2456020217220034,2.977044343735138,0.01069987465169895
2023-01-04,0.022093661803124203,1.2731219315312172,2.794074601306481,0.0068017566907960375
2023-01-05,0.009344832732793051,1.2850190430298267,2.7223901523725034,0.0022079625434268044
2023-01-06,-0.02555922105667247,1.2521749572469936,2.7842238754056585,-0.002571376359326291
2023-01-09,0.04973337805917505,1.3144498477919897,2.520989101036768,-0.005564749546572468
2023-01-10,0.015861069578575072,1.3352984282853657,2.437654326073402,-0.009247608564351589
2023-01-11,0.0034959997781747786,1.3399666312944485,2.377079160072625,-0.012225872901362681
2023-01-12,-0.005410054351734842,1.3327173389896345,2.4234448838386973,-0.01784168246580896
2023-01-13,-0.0030604315390088247,1.3286386488128068,2.3961894428698747,-0.021538815305792137
2023-01-17,0.03691604098473887,1.3776867276262885,2.2250521567020547,-0.02381450126848374
2023-01-18,0.02384025946155667,1.4105311366696422,2.1212934049855483,-0.02685753199491874
2023-01-19,0.0015251571032429516,1.4126824182520792,2.0922189596445264,-0.030572825069468474
2023-01-20,-0.004007013485487628,1.4070217807514318,1.9863323871248457,-0.029654406708352676
2023-01-23,0.002152887102283141,1.410050939795843,1.8600408967100592,-0.02800108971911089
2023-01-24,0.006030620069993361,1.4185544212930887,1.7493863464485753,-0.027518820634256015
2023-01-25,-0.007984308577106613,1.4072282450600657,1.6787946209146858,-0.02707775550141477
2023-01-26,0.008778593706216184,1.4195817300753597,1.5878068768907396,-0.02658733776076022
2023-01-27,0.01012742214747308,1.4339584335286728,1.515217400384542,-0.02676862092846829
2023-01-30,0.00548128332936024,1.4418183659853692,1.4668246761816772,-0.02757298967538099
2023-01-31,-0.01445881198536233,1.4209713853145443,1.4862243524120542,-0.028935983738002637
2023-02-01,0.0038876833096549877,1.426495672052729,1.4925703868563223,-0.03131627635105923
2023-02-02,-0.008836866446597206,1.4138899203121502,1.5310663628560937,-0.03399719711363415
2023-02-03,0.006916121304268285,1.4236685545119114,1.5070591250910448,-0.03647781689225065
2023-02-06,0.006749763329242879,1.433277980314152,1.488370468978837,-0.03853874095318685
2023-02-07,0.0038109653368468416,1.4387401530151949,1.4752256457178772,-0.040553509170491206
2023-02-08,-0.007894516378339985,1.427381995313041,1.4631389919281332,-0.04273668120461921
2023-02-09,0.014827712310296627,1.44854680489644,1.3967903825523789,-0.04366182547901154
2023-02-10,-0.0124025065985576,1.4305811935903925,1.3908337481273132,-0.0447138034963666
2023-02-13,-0.0031038730834584,1.4261408511299054,1.3915084821373385,-0.04619462051284935
2023-02-14,0.006450552155941658,1.435340247071838,1.3871235786576457,-0.04903325222319272
2023-02-15,0.008326779481780408,1.4472920087905294,1.3905413504100081,-0.05134436782690733
2023-02-16,0.00930604529246886,1.4607605737757625,1.378917188424741,-0.0544659573916052
2023-02-17,-0.006439822655134254,1.4513535347390345,1.4179764820959215,-0.05761020854689215
2023-02-21,0.012493156319153067,1.4694855213228846,1.4084348366230806,-0.0610409946360768
2023-02-22,0.008073965819585626,1.4813500971944216,1.4616126456980034,-0.06688118316659658
2023-02-23,0.002516427563089963,1.4850778074095876,1.5378271947010855,-0.07356698538047246
2023-02-24,0.013749161140989381,1.5054963814905693,1.610834480836691,-0.08129173848835289
2023-02-27,0.023523053347238185,1.540910253186446,1.6849323027123286,-0.0895653499614378
2023-02-28,0.005725532073696739,1.549732784263753,1.7917814610103764,-0.09844097496014581
2023-03-01,0.010927637530703785,1.5666677023996354,2.02586459793102,-0.1155165671651142
2023-03-02,-0.012678614323354227,1.5468045268280548,2.0419298438888505,-0.11781546773824735
2023-03-03,-0.01047698753457794,1.5305986750820486,1.9729386880852,-0.11971059599215697
2023-03-06,-0.0009629502129439179,1.5291247847619467,1.9031399345548268,-0.11760779040979226
2023-03-07,0.01822968358821241,1.5570002457550502,1.812861726163431,-0.11681807488723066
2023-03-08,0.005239995589524887,1.5651589201756957,1.7501455651706732,-0.11644075012061725
2023-03-09,0.018005302465238196,1.5933400799396247,1.637271957301786,-0.11589176161750944
2023-03-10,0.003762117646317469,1.5993344127709503,1.5130467085349157,-0.11376312606122477
2023-03-13,-0.012132711142432443,1.5799301503206487,1.4247817771819955,-0.10986813752324899
2023-03-14,-0.0032550110152841467,1.5747874602779754,1.3886048403504456,-0.1071316460772732
2023-03-15,-0.010346360503545739,1.5584941414974762,1.3718084287468988,-0.10599618738238659
2023-03-16,-0.0025680450149711954,1.5544918583865417,1.250571505446109,-0.10127914949379915
2023-03-17,0.00673042545094214,1.5649542499535087,1.1408756992708147,-0.09821128984958732
2023-03-20,-0.018140804813853786,1.536564720362491,1.071296522644623,-0.0945940715054586
2023-03-21,0.003386371472745317,1.5417680992975535,0.9474891900335453,-0.09067548697718246
2023-03-22,-0.0,1.5417680992975535,0.757846730458409,-0.08617251105430727
2023-03-23,0.0,1.5417680992975535,0.5814197222567089,-0.08017092636993682
2023-03-24,0.0,1.5417680992975535,0.413714826490603,-0.07352099389578359
2023-03-27,-0.0,1.5417680992975535,0.1923066593928495,-0.06741189416755874
2023-03-28,-0.0,1.5417680992975535,-0.10113264505437919,-0.059701514445280116
2023-03-29,0.0,1.5417680992975535,-0.4498523770111528,-0.04821520791688484
2023-03-30,0.0,1.5417680992975535,-0.869922800519547,-0.03524054092020829
2023-03-31,0.0,1.5417680992975535,-1.4100885123801168,-0.017503029516523737
2023-04-03,0.013480446336558488,1.562551821423552,-1.8974983815375654,-0.0004008840896216545
2023-04-04,-0.010919698767844266,1.5454892262244606,-2.615677126318854,0.02624597925840018
2023-04-05,0.01593295366439675,1.5701134344547194,-2.642247680989286,0.03368146492624312
2023-04-06,-0.0002546255503252981,1.5697136434573982,-2.683392029136624,0.04229593579388699
2023-04-10,0.004740981081098082,1.5771556261437714,-2.692475876840795,0.04960401846588863
2023-04-11,0.0009030596427216751,1.5785798917400333,-2.6389053824429807,0.05479711896480949
2023-04-12,-0.008903304090882346,1.5645253149321197,-2.5968381350504215,0.061507874117619946
2023-04-13,0.0012406636973745977,1.5664663646939794,-2.561824992615403,0.06742343172883508
2023-04-14,-0.005819637376573255,1.5573500984888615,-2.4481992462081297,0.07043671202335888
2023-04-17,-0.0006563036311186978,1.5563280039643002,-2.420325334050388,0.07696066377672252
2023-04-18,-0.015847869784999257,1.531663520414726,-2.5413215866160233,0.09164818034144304
2023-04-19,-0.007470876860274989,1.5202206508623322,-2.5026662581865082,0.09938445023897734
2023-04-20,-0.011619933571956127,1.5025557878845959,-2.3946991031155553,0.10014308080838019
2023-04-21,0.008885692427631387,1.5159070364710958,-2.204390029365754,0.09729967059390962
2023-04-24,-0.008419795176005215,1.5031434097181442,-2.086304944958554,0.09576093026160692
2023-04-25,-0.01310121060620288,1.483450411336101,-1.8796540428736193,0.08871615816186637
2023-04-26,-0.016366180793369742,1.4591719937061756,-1.7408016648321596,0.08468187784854057
2023-04-27,0.0017301100938286818,1.4616965219011189,-1.667995414776204,0.08362934343937911
2023-04-28,0.0035659824788246645,1.466908906087577,-1.538189067892003,0.07863053773521801
2023-05-01,0.009625820229961442,1.4810291075113056,-1.384167968742934,0.07302758981129528
2023-05-02,-0.003997634761553075,1.4751084940682464,-1.3001099136090672,0.06961729389910962
2023-05-03,-0.014994395285173882,1.4529901342196696,-1.2044921054748956,0.06484680989726126
2023-05-04,-0.005885804638000574,1.4444381181487105,-1.1355044377195367,0.061738465889975946
2023-05-05,0.005773729704948975,1.4527779134184262,-1.0586816933110361,0.05776797423842511
2023-05-08,0.0046763692469644624,1.4595716393754052,-0.914569777135346,0.049002543573163
2023-05-09,-0.0,1.4595716393754052,-0.8143430967065893,0.04255637353671003
2023-05-10,-0.0,1.4595716393754052,-0.6933808523714915,0.03447695574482042
